# DIRECT ASCENT ASAT TRAJECTORY EPHEMERIS (ECI J2000)
# Time of Flight: 9000 seconds
# Columns: Time(s), Pos_X(m), Pos_Y(m), Pos_Z(m), Vel_X(m/s), Vel_Y(m/s), Vel_Z(m/s)
# -----------------------------------------------------------------------------------------------
   54,   4665079.6032,   4401001.5691,   2109146.0133,  -3233.2056,   6285.2840,   7698.0515
   55,   4661843.3788,   4407284.0033,   2116842.6980,  -3239.2405,   6279.5847,   7695.3171
   56,   4658601.1275,   4413560.7395,   2124536.6460,  -3245.2597,   6273.8881,   7692.5780
   57,   4655352.8646,   4419831.7804,   2132227.8524,  -3251.2634,   6268.1942,   7689.8341
   58,   4652098.6059,   4426097.1288,   2139916.3127,  -3257.2515,   6262.5031,   7687.0856
   59,   4648838.3669,   4432356.7875,   2147602.0220,  -3263.2240,   6256.8147,   7684.3324
   60,   4645572.1630,   4438610.7591,   2155284.9759,  -3269.1810,   6251.1291,   7681.5746
   61,   4642300.0100,   4444859.0465,   2162965.1696,  -3275.1225,   6245.4463,   7678.8122
   62,   4639021.9232,   4451101.6526,   2170642.5987,  -3281.0486,   6239.7663,   7676.0452
   63,   4635737.9180,   4457338.5800,   2178317.2585,  -3286.9591,   6234.0891,   7673.2737
   64,   4632448.0100,   4463569.8318,   2185989.1446,  -3292.8543,   6228.4149,   7670.4977
   65,   4629152.2146,   4469795.4107,   2193658.2525,  -3298.7341,   6222.7435,   7667.7173
   66,   4625850.5470,   4476015.3198,   2201324.5777,  -3304.5984,   6217.0750,   7664.9324
   67,   4622543.0228,   4482229.5618,   2208988.1159,  -3310.4475,   6211.4095,   7662.1432
   68,   4619229.6572,   4488438.1398,   2216648.8627,  -3316.2812,   6205.7469,   7659.3496
   69,   4615910.4656,   4494641.0567,   2224306.8137,  -3322.0996,   6200.0874,   7656.5517
   70,   4612585.4632,   4500838.3155,   2231961.9646,  -3327.9027,   6194.4308,   7653.7495
   71,   4609254.6653,   4507029.9192,   2239614.3112,  -3333.6906,   6188.7772,   7650.9430
   72,   4605918.0871,   4513215.8709,   2247263.8492,  -3339.4632,   6183.1266,   7648.1323
   73,   4602575.7439,   4519396.1735,   2254910.5743,  -3345.2207,   6177.4792,   7645.3174
   74,   4599227.6509,   4525570.8302,   2262554.4825,  -3350.9629,   6171.8347,   7642.4983
   75,   4595873.8231,   4531739.8440,   2270195.5695,  -3356.6901,   6166.1934,   7639.6751
   76,   4592514.2758,   4537903.2181,   2277833.8313,  -3362.4021,   6160.5553,   7636.8478
   77,   4589149.0240,   4544060.9556,   2285469.2637,  -3368.0990,   6154.9202,   7634.0164
   78,   4585778.0828,   4550213.0596,   2293101.8628,  -3373.7808,   6149.2883,   7631.1810
   79,   4582401.4673,   4556359.5333,   2300731.6244,  -3379.4476,   6143.6596,   7628.3416
   80,   4579019.1925,   4562500.3798,   2308358.5446,  -3385.0994,   6138.0341,   7625.4982
   81,   4575631.2735,   4568635.6025,   2315982.6195,  -3390.7362,   6132.4118,   7622.6509
   82,   4572237.7252,   4574765.2045,   2323603.8450,  -3396.3580,   6126.7927,   7619.7996
   83,   4568838.5625,   4580889.1890,   2331222.2174,  -3401.9649,   6121.1769,   7616.9445
   84,   4565433.8004,   4587007.5594,   2338837.7327,  -3407.5568,   6115.5644,   7614.0855
   85,   4562023.4538,   4593120.3188,   2346450.3871,  -3413.1339,   6109.9551,   7611.2227
   86,   4558607.5375,   4599227.4707,   2354060.1768,  -3418.6961,   6104.3492,   7608.3561
   87,   4555186.0665,   4605329.0183,   2361667.0980,  -3424.2435,   6098.7466,   7605.4857
   88,   4551759.0555,   4611424.9649,   2369271.1469,  -3429.7760,   6093.1473,   7602.6116
   89,   4548326.5194,   4617515.3140,   2376872.3200,  -3435.2938,   6087.5514,   7599.7338
   90,   4544888.4728,   4623600.0688,   2384470.6134,  -3440.7968,   6081.9589,   7596.8524
   91,   4541444.9306,   4629679.2328,   2392066.0235,  -3446.2851,   6076.3697,   7593.9673
   92,   4537995.9075,   4635752.8094,   2399658.5467,  -3451.7587,   6070.7840,   7591.0786
   93,   4534541.4181,   4641820.8021,   2407248.1795,  -3457.2176,   6065.2018,   7588.1863
   94,   4531081.4772,   4647883.2142,   2414834.9181,  -3462.6618,   6059.6230,   7585.2904
   95,   4527616.0994,   4653940.0492,   2422418.7592,  -3468.0915,   6054.0476,   7582.3911
   96,   4524145.2992,   4659991.3106,   2429999.6991,  -3473.5065,   6048.4758,   7579.4882
